name,address,rating,user_ratings_total,latitude,longitude,reviews,after_comma,BORO,CUISINE DESCRIPTION,final_grade
LA FORTUNA MEXICAN RESTAURANT,"2047 Richmond Ter, Staten Island",4.8,93,40.640462,-74.1312001,"['Food is great and people is very nice.', 'Im a Staten Island native and I enjoy all types of food but my favorite being Mexican. And I have to admit that, This is simply the best Mexican restaurant on the island. The service is amazing with regards to the quality food but the speed in which they deliver. I’ve never have to wait more than 5 to 10 minutes while waiting for my food. The service is always top tier. The staff is always friendly and welcoming. I give this place a 10 out of 10 every time. 💯', 'The food was very tasty, authentic and served very fast. But the best was the service, super kind people and always making sure we were all good. 100% recommended.', 'Everything here is SO FRESH. I came here with my family of 5 and all of our dishes were extraordinary. Everything came out piping hot and very delicious. We ordered the guacamole, shrimp with garlic sauce, mixed fajitas, chicken burritos and breaded chicken and breaded fish filet. The hot, fresh churros with chocolate sauce at the end were absolutely melt-in-your-mouth divine. We would definitely come here again. 5 stars!', 'Service was great, the food came in a timely manner and was made fresh. I was there from 9p(closes at 10p). Definitely worth trying!']",Staten Island,Staten Island,Mexican,A
JIMMY MAX,"280 Watchogue Rd, Staten Island",4.5,940,40.615977,-74.1386825,"['New Pictures\n\nTerrific atmosphere and extremely friendly service. We do not often have the opportunity to visit this area, so we were excited to go. We had a special event for my son’s school and even though the place was jam packed due to games, the staff and service did not skip a beat. The food is really great and the bar is very popular.\nHighly Recommend', 'Jimmy Max has always been a Staten Island staple to me, but I recently hosted a first party for my daughter there and can now double down on that sentiment. :-) Erin was so wonderful to work with leading up to the party. She was quick to respond via email, answered all of my questions, and sat with us in person to sort out final details. The day of the event, Erin and the rest of the staff worked so hard to make sure that everyone was happy throughout the day. It’s the first party I’ve hosted where I felt relaxed from start to finish - and that’s all thanks to the staff at Jimmy Max. The food was delicious and plentiful! The space was beautiful! And the staff was an a+ team! Highly recommend for a party of any kind!', 'The food is really good depending on the dish. I’d highly recommend the caeser salad with blackened chicken.Service was hit or miss as people who later were getting food earlier. Restaurant management did comp the late arriving dish.', 'Staple of Staten Island. Bar but you can bring your kids.so the Rangers are in the playoffs and we decided to do some take out. Ready right before puck drop. Food and service never disappoints, if you’re going on a game night go early for a bar seat but tables have Tv’s  as well. Try everything you can here.', 'The food is delicious.  The atmosphere is welcoming.  Owner and staff are professional & courteous.\n\nHas a great bar and you can watch the game and have a drink or watch the games while you dine!']",Staten Island,Staten Island,American,A
CHILI'S GRILL & BAR,"1497 Richmond Ave, Staten Island",4.2,1528,40.611678,-74.159157,"[""Love this Chilli's. Wait time is normally not bad but even when it's a bit longer they give you a realistic wait time and take your name and number down. They even send a link that updates you about how long the wait will be so you don't have to wait around. Maury is the most amazing server!! Served me two times and was awesome and very memorable."", 'Chili’s always delivers an amazing experience, and this visit was no exception! We kicked things off with the Triple Dipper and the Dip Trio, and let me tell you, it was the perfect start to our meal. The Triple Dipper was like a dream—getting to mix and match our favorite appetizers was a treat, and every single bite was bursting with flavor. The Dip Trio was just as fantastic, with creamy, zesty dips that paired perfectly with the fresh, crispy chips. It was the ideal way to start our evening.\n\nWhen it came to the main course, I couldn’t resist the Cajun Chicken Pasta. It was everything I hoped for—rich, creamy, with just the right amount of spice to keep things interesting. My partner went for the Texas Dry Rub Ribs, and they were simply divine—fall-off-the-bone tender with a smoky flavor that lingered in the best way possible.\n\nThe atmosphere at Chili’s is always welcoming, but this time it felt extra special. The staff was incredibly attentive, making sure our drinks were always full and that we were enjoying every moment. We also treated ourselves to a couple of their signature margaritas, and they were the perfect blend of tart and sweet, refreshing and satisfying.\n\nOverall, it was a perfect night out. Chili’s has a special way of making you feel right at home while treating you to top-notch food and service. It’s definitely our go-to spot, and after this visit, I’m already looking forward to our next meal there!', ""Great Service!! Thanks to Felicia, our server! She made suggestions upon our request and was very patient with giving us tyme to peruse the menu.\nOur Go-To appetizer was the Bottomless Tortilla Chips with Salsa (quite filling, especially when sipping a tasty libation). My libation of choice  was the Tiki Beach Party Marg (lightly salted glass rim 👌🏽), and my friend had two Strawberry Margeritas (Happy Hour Tyme).\nAfter much thought, we both ordered the Smokehouse Combos two meats each: ribs & chicken crispers for me and chicken quesadillas & honey-chipotle ribs). Our entrees were served hot & delicious (of course, the portions that we could eat lol). The meals were served with fries, seasoned corn, and garlic bread.\nFelicia checked on us, always graced with a smile.\nThis Chili's is a Pleasantly comfortable atmosphere, with light music and TV monitors at the bar area\n\nPics: Tiki Beach Party Marg & Bottomless Tortilla Chips"", ""The highlight of our dining experience is definitely Gabbie's exemplary service, she was friendly, efficient, and even brought us refills when she saw we were running low, demonstrating amazing observation skills and attunement! The burger was pretty decent, although it was salted unevenly where some bites were very salty and others flavorless. Additionally, the bread didn't hold the burger well and quickly deconstructed, resulting in a fork and knife experience. The steak in the steak fajita was surprisingly tender and flavorful with its various components, so that's highly recommended! Overall we had a wonderful experience and I just want to thank Gabbie for her amazing service which definitely enhanced our experience!\n\nThank you for reading and best of luck! (:"", 'Visited yesterday and it was amazing we had a bit of a complicated order and our waitress and kitchen staff handled it like a pro . We love her . Wish I could remember her name , she seriously needs a raise . She went above and beyond for us :) I took a pic of her , if anyone knows her name please let me know . I want her to be our waitress again :)']",Staten Island,Staten Island,Tex-Mex,A
OSTERIA SANTINA,"502 Jewett Ave, Staten Island",4.6,375,40.6246031,-74.1320111,"['First time dining here and I was very impressed with the food and service. Appetizers we ordered were the usual fried calamari, which was excellent. Also got scungili fra diavlo, also very good, but was not spicy hot enough for my taste. Entrees were pappardelle bolognese, stuffed chicken filet of sole oreganata and grilled salmon. We all commented how good our food was and were so full that we passed up desert. Servers were very attentive making sure we had everything we needed.  Was a very enjoyable evening that I look forward to in the near future.', 'The food was out of this world delicious. The raw oysters, clams and shrimp were delectable.  The pasta was supreme and the filet mignon was perfection. Never mind the wonderful deserts, were fantastic. The servers were very nice and attentive, the atmosphere was beautiful. I should have taken more pictures as the presentation of the food was beautiful\nI highly recommend this five star restaurant', ""I recently hosted my bridal shower here and it was an absolutely perfect experience from start to finish. The staff went above and beyond to make sure everything ran smoothly—they were so kind, attentive, and incredibly accommodating to our needs.\n\nThe food was phenomenal! Every single guest raved about how delicious it was, and the variety of options made sure everyone was happy. The space itself was ideal for our event—spacious, beautifully set up, and perfect for mingling and dancing.\n\nIf you're looking for a venue for a special event, I can't recommend Osteria enough. They helped make my bridal shower a truly unforgettable day!"", ""I want to start off by extending my gratitude towards Walter, who was so friendly, funny, warm, witty, and helped make this dinner as perfect as it was. All the staff were also very friendly and welcoming.\n\nThe ambiance from once you walk in is very elegant and gives off a high class vibe. We started the meal off with roasted garlic oil that accompanied the bread, which was extremely flavorful, so be careful not to fill up on bread for it's so easy to do so! Then came our chocolate milk, which I know sounds weird in an Italian restaurant, but it was delicious and not overwhelmingly sweet. Then came the pasta Fagioli soup that was very tasty and had a good variety of veggies.\n\nThen the only issue arose; the long wait time between our side salad and the main entrees, which was a 35 minute wait. This long time wait unfortunately made us quite full and really siphoned away our initial excitement, especially since everything was going so well!\n\nNow the entrees! The salmon Wellington was SO GOOD! The puff pastry was crisp and paired perfectly with the salmon and the dill cream sauce! It was a special but totally worth trying if you see it available! Our carbonara came out extra Al dente, then when they tried to remedy it it ended up being overly watery and just as Al dente. However, Walter was friendly and open about the experience, where he did everything to make sure we enjoyed our experience. The fresh fettuccini that Walter recommended was so delicious and came out mild in flavor so we could adjust it to our liking with cheese, salt and black pepper.\n\nBut despite the delay and hiccups with the carbonara, we still had a wonderful experience thanks to Walter's amazing hospitality and service. So if you come here, ask for Walter and definitely try either the salmon Wellington or the fresh fettuccini!\n\nThank you Walter and everyone who served us today!\n\nThank you for reading and best of luck! (:"", 'Me and my family have eatin here at least 12 times in the past year. Every time is as good as the last. Exceptional service, the owners are available to talk to anytime for a comment on the food or to just say hello. Perfect place for a party of any occasion.  Even the valet parking guys are very nice and fast service.  Great atmosphere all around. Trust me you will love it.']",Staten Island,Staten Island,Italian,A
ANGELINA'S KITCHEN,"280 Marsh Ave, Staten Island",4.3,836,40.5785122,-74.1640273,"[""My sons favorite restaurant on Staten Island!! The service is always on point. They also donate food to a local charity for kids with special needs around Easter time. WE LOVE A RESTAURANT THAT GIVES BACK!!! I had the tagliatelle al Parmigiano... I added shrimp, cheese, and a little pepper. It was delicious! You know a restaurant is a good place when you see the same wait staff working their for years.  I'm not a fan of all of the dishes but I can definitely recommend the ravioli with the eggplant, the pizza, of course the bread, the spaghetti vongole pachino, and the fritters di calamari as an appetizer. The drinks are good... They don't skimp on the liquor. Just bring cash because they do charge a credit card processing fee. Definitely a recommend spot!"", 'Just had my son’s christening dinner here for about 30 people and we were so impressed with everything. The rustic look was beautiful. The room set up, the food, the service .. everything was wonderful. Would definitely have another event here. Thank you to Chiara and Baldo for everything!', 'You feel right at home when you visit this location. I’ve had the pleasure to visit both as a guest and vendor and every time I go I am treated with such kindness and respect.\nFood and drinks are great but the people keep you coming for more ❤️\U0001faf6🏼', ""Angelina's Kitchen definitely needs some improvement. The fried calamari is usually always good but this time was undercooked, the drinks were terrible, and the pizza is average. The bread they serve is absolutely amazing, the environment is really nice and the waiters/ waitresses are always awesome people. I recommend but but for the price theres so much better out there."", 'I always loved this place. I’ve been suffering from long Covid since September 2021. Pretty much everything smells and tastes rotten and weird. I haven’t been able to enjoy food for a long time now. Little by little, I’m able to have certain things that taste okay but not totally normal yet. I have to say that our server Joe was very attentive and understanding. He was great. I ended up ordering a margherita pizza for my son, and decided to taste it since it didn’t smell bad. Surprisingly one little bite after another, i sort of liked it. Even with the basil, which is shocking, since herbs, spices and sauce bothered me with the smells and tastes for so long. This was the first place that i was able to tolerate it and even eat more than one slice. I’m also able to eat their bread broken into little pieces, dipped into their ricotta honey mixture. Their food is high quality and tastes great, especially for when i was able to eat almost anything. It’s big that i was able to eat what i was at this point, so this resistant was awesome. The server gets 100 thumbs up for dealing with what I’m going through and being understanding, making sure all was well and that i was ok with what i was trying. Love this place. A bit pricey, but nowadays what isn’t pricy? Especially when it’s so high quality!']",Staten Island,Staten Island,Italian,A
GUAC TIME MEXICAN GRILL,"961 Jewett Ave, Staten Island",4.8,155,40.6128433,-74.1305338,"[""I have seen this place before & I thought it closed down because doors were closed. Was kinda disappointed but I recently seen a post in insta & realized they are just opening it here & got lucky with that. I always change my bus infront of that area & I got off and seen the line ! So I was like I gotta try this ! And on top of it they were giving away free food, I bought a drink to show support.\n\nVery happy because it's a halal place & don't serve alcohol(if I am not mistaken) and also the owner is from Pakistan or India, So extra happy about it.\n\nCustomer service was great for a hectic busy day, I will definitely be a regular! Will let you know how the food & service is on a daily basis ."", 'the food slapped it was so good but there was a piece of metal inside my crunchwrap that i didn’t notice until it was lodged inside my tooth in the back. it was scary when i had to pull it out and lowkey was scared i swallowed a piece. i called them to let them know and they just apologized and asked if i wanted another crunchwrap if i came to get it but i was traumatized enough for one day so decided not to get it.', 'I recently dined at Quac Time and had an amazing experience! From the moment I walked in, the ambiance was vibrant and inviting, with a modern take on Mexican decor. The service was exceptional, the staff and Manager were friendly and attentive, making sure I had everything I needed. The food was outstanding, with fresh ingredients and authentic flavors in every dish. Their guacamole was some of the best I’ve had, and the burrito bowl was flavorful and perfectly seasoned. Quac Time is definitely a place I’d recommend to anyone looking for great Mexican food with a unique, modern twist and quick service, Can’t wait to go back!', 'Workers are very kind and took our orders very understandingly since it was our first time there. The food was so flavorful and delicious, and it was also very affordable. Would highly recommend for those who enjoy the create-your-own style. I really recommend the crunchwrap, it was very filling!', 'First time ordering from guac time. There was a BOGO going on for several items except that if you ordered like say a burrito or a dish you had to order the exact same one for the second one. I ordered the burrito and I got a second one which I gave away, but the other person wanted rice so that means I had to race. The race was over Overbearing there was a great abundance of rice that it’s falling all over the place and maybe because I’m not a big rice eater it seemed to me like too much. The burrito itself is tasty. I couldn’t really taste the meat or anything but the rice but it was tasty enough. It was huge. You can either share it if you’re not a big eater or definitely could make two meals. I also ordered a guac and chips and a container of queso a small container to try it because I hadn’t tried either and both were delicious the queso that was a tad bit watery. Maybe could’ve been a little bit thicker but the guacamole was good and if I go there, I would get those again. Next time I think I would’ve ordered a case again and another, sidenote the proteins and some of the extras cost extra. I had to pay 399 for chop meat and all I taste is rice so just think about that maybe you want to get no rice so you could taste what you’re paying for other than that. It’s good. It’s well worth the visit. it’s a bit pricey so bring your wallet and credit cards, but it’s worth it. The restaurants are clean and the only thing about the staff. I noticed when I was in there picking up orders for Uber a couple weeks ago they had one person making the orders at one person in the kitchen and you have people walking in people ordering to pick up and it’s a lot of work for one person so you know it could be a little bit slow. I’m waiting and I waited a long time for the orders I was picking up because I had one order that had two items and the other order had like about 20 but again they only had one person doing the orders and one person working in the kitchen']",Staten Island,Staten Island,Mexican,A
JOE & PAT'S PIZZERIA & RESTAURANT,"1758 Victory Blvd, Staten Island",4.4,1312,40.6129927,-74.1221151,"['Absolutely incredible. The “regular” pizza is delicious in its own right, but the vodka sauced pizza is downright breathtaking. This is the pizza that keeps you up at night thinking about it. I plan to order more to have shipped across the country to my home via Goldbelly, that’s how amazing it is. Staff are friendly, location is nice, this one is worth the trek.', ""Thin style pie. Plenty of sauce. I thought it was a little on the salty side. Garlic bread was tasty though I felt like it had too much pepper. Would I recommend the pizza, yeah. It's a good pie. 7.5"", 'REAL. PIZZA. Worth the trip from NJ any day! Going during lunchtime on a weekday was awesome- no wait and quick service. We got a pasta fagioli soup, half Tri-pie, half with fresh tomatoes and sausage. And runny chip with ice cream :)', 'My favorite pie anywhere. Thin crust, crisp on the edges and delicious sauce. Lighter on cheese than most anywhere else in NYC which brings out the great flavor and no greasiness. They have a large menu if you want something else for some reason… on the side the escarole and broccoli rabe are top tier- it’s hard to find them prepared well anywhere else.', 'Excellent. The vodka slices are so perfect they can’t be described.\nOn the margarita slices they use a sweeter sauce which I would usually associate with inferior store bought sauce but combined with the super fresh mozzarella it’s a perfect pairing.\n\nThe slices are thin so order more than you think 😂']",Staten Island,Staten Island,Italian,A
CUCINA FRESCA,"2110 Richmond Rd, Staten Island",4.6,214,40.5813751,-74.1115264,"['We stumbled upon this place and we didn’t expected the top tier customer service and delicious food that they offer! We even met the owner of this establishment by accident yesterday and he was very kind. He even offered on the house salad and did not disappoint us when he said that their lamb chops is one of their best! It was cooked perfectly and seasoned well. The gnocchi bolognese was also phenomenal! We definitely did not expected how HUUGGEE the portions were, haha. But definitely a really good authentic Italian restaurant with good ol’ classical music that fits the vibe. Highly recommended this place if you are looking for a good Italian restaurant for a reasonable price.', 'First time going back under new management and they have returned to greatness! For appetizers we got the baked clams and calamari. I have a very high standard for baked clams and they surpassed my expectations! For our main course I got the mixed seafood pasta and my girlfriend got the lamb chops. Both of which were excellent and we would get again. The owner is great and kept making sure we were enjoying our food and overall dining experience. Overall, really happy they are open again and they stayed as BYOB!', 'My wife and I visited this cute little Italian restaurant recently to celebrate our first anniversary. When we got there, we were greeted by the owner who acted as our server as well as the cook. We started off with the meatballs as a starter. They were made old school, like my great grandmother would make it with pine nuts and raisins. They were delicious and the sauce was fantastic. My wife had the surf and turf and I had the rib eye special. Both were cooked a perfect medium-rare. The owner (who’s name I unfortunately have forgotten), heard us raving about the meatballs and brought us out a complimentary bowl of freshly made pappardelle pasta with red sauce and more meatballs. Needless to say, we were beyond stuffed. When he heard that it was our anniversary, he then proceeded to insist we stay for a surprise dessert on the house. This was an offer we couldn’t refuse! A few minutes later he dropped a warm funnel cake in front of us, topped with strawberries, vanilla ice cream, salted caramel and whipped cream. It was fantastic! I really can’t recommend this place enough. If you’re looking for a great meal at a great price, this is the place for you!', 'We had dinner tonight. The food was amazing! Service was great! The owner Frank was so accommodating, welcoming & worked so hard to make our evening enjoyable! Highly recommend!!', 'Great food - Frank the owner makes you feel like family -2nd rime  we drove up from. South Jersey  worth the Trip - the pork chop was incredible!']",Staten Island,Staten Island,Italian,A
NORI SUSHI AND RAMEN,"900 Hylan Blvd, Staten Island",4.4,117,40.59812590000001,-74.07242339999999,"['What an amazing experience we had at Izakaya Nori Restaurant ! An amazing tranquil environment with a lot of natural light and beautiful ambiance filled with traditional Japanese cherry blossoms at the entrance and greenery decorations everywhere. The tables have very nice ornaments that truly give off the Japanese culture vibes. Now the food was incredible ! Started off with some edamame on the house ! (They serve it to us before we placed our order) We ordered the 3 roll special and I ordered the Tokyo Ice Tea. In the pictures you can see the drink looks refreshing and was actually very tasty. Please take notice of the presentation of the plates and why I want to give this place 6 stars!  The Philadelphia, California, Boston, Salmon, Eel Avocado, and Shrimp rolls were all amazing! Ended the dinner with two Sapporo beers and gave a nice tip! Would come again and again and again!', ""The ribeye yakitori was pretty good, tender and a good amount of sauce to pair it quite well. The chicken skin yakitori was very crispy and delicious, with just a tad too much sauce which made some pieces overly salty, but no biggie. The salmon tartar was just okay, with the yuzu sauce being very sour. I think if the amount of avocado being increased a bit, it would have helped equalize its sourness with the creaminess of the avocado. The three rolls lunch special is very fresh and had more ingredients than rice, just like the special dancing lobster roll which had so much lobster (as evident in the pictures)! The rock shrimp lunch bento was also just mediocre, potentially due to it being overly battered and pieces were combined together. Overall, we really loved the freshness and generosity of the fishes in their normal and special sushi rolls! The restaurant also looks very pretty with beautiful floral decorations and is incredibly spacious and clean. The staff were all very friendly and quick with their service, with pretty plates and utensils. Will definitely be back and I'm sure with a little adjustment, the quality of their food will only continue to enhance!\n\nThank you for reading and best of luck! (:"", ""The restaurant itself is very pretty, and feels very open and clean. I initially had ordered fried rice for delivery as I had a craving, and what I received was so good I had to come in person. My partner and I got rolls this time as well. The tempura are some of my favorite that I've had in a long time. The sushi was very fresh and satisfying. I also always love a good tempura ice cream for dessert. We couldn't recommend this place enough and look forward to coming back soon!"", ""We came from NJ looking for another Sushi place but stumbled on Nori's thru a search and decided to give it a try. The place is very very clean and crisp. The decor is top notch and seating is very nicely arranged. The food presentation is very nice and in some way appetizing. The sushi was very fresh and tasted very well. The sushi selection is great and we tried a number of their offerings. Prices are very reasonable and the service is great. Based on location parking might be a bit of a challenge. I'd highly recommend giving the place a visit. You'll be happy as my family and I did."", 'This location truly delighted me.\nThe cuisine was actually excellent.   Perfect not-too-saucy ramen! There are numerous item alternatives.  Lunch special rolls were also tasty.']",Staten Island,Staten Island,Mexican,A
CAFE MILANO PIZZERIA AND RESTAURANT,"401 Forest Ave, Staten Island",4.2,381,40.6310462,-74.1029363,"['Really great pizza in the area. We live on South Shore so we do not usually come by, but we had basketball and we’re in area.\n\nReally great pizza. Cooked perfect with excellent undercarriage. No flop at all.\n\nSauce was very good and complimented their dough well.\n\nPerfect spice.', 'I been ordering from Milano for awhile now, I will say there was a time I was about to stop.  I felt like the kitchen was putting my orders together with no care in the world.  Continued to order, since it was just simple orders who can mess that up but it happened until Erica, she is amazing.  She is polite, and always makes sure my order is perfect.  Erica is definitely the reason I started to branch out in my orders.  Thank you for her kindness, her sweet way she answers and ends the call.  I definitely know i am in good hands with her.', 'Where is the powdered sugar tho?\n3rd time I ordered zepoles and its delivered like this (even in the winter)\n\n9/26/24\nWere these even cooked tho??\nAsk yaself would you eat these  they are horrible no taste slimy not crunchy ughhhh\nAre there new owners?', 'Ordered food from here for NYE. We asked for extra bread and this is what they gave us. Cold hard as a rock spread out inside the box. Also asked for extra dressing and this is what they provided. Food was okay. Going to stop wasting money on food that i know i can make better at home. Save yourself the trouble and trip', 'My family came here for a birthday dinner to see the new dining space and it was such a lovely time!! The food was great and really generous portions. But to be honest the staff really made the night special. I wish I got their names - lovely spot - I’m glad we came!']",Staten Island,Staten Island,Mexican,A
